rank,split,file,csv_line,word_like_tokens,distance_from_1000,Constructiveness,Toxicity,Title,Topic,Comment
10,train,ViCTSD Dataset\ViCTSD_train.csv,6377,310,690,1,0,20 năm Lionel Messi gắn bó với Barca,TheThao,"Xem đá bóng từ thời Maradona còn đá. Nếu cầu thủ lành lặn hoàn toàn, đỉnh cao phong độ, được đá hết khả năng trong một trận cụ thể (không tính cả mùa) thì mình xếp như sau: 1/ Ronaldo Lima (kĩ thuật cá nhân siêu đẳng, chịu áp lực cực giỏi, luôn toả sáng rực rỡ ở những trận cầu đinh WC 2002, 98 là ví dụ điển hình, riêng năm 98 chung kết bị động kinh không tính, các trận trước thì đá quá hay) , 2/ Maradona (kĩ thuật siêu đẳng, lãnh đạo giỏi, truyền cảm hứng giỏi, tài năng ở Napoly và WC nói lên tất cả, Pele không chấm vì mình ko tận mắt xem ông đá, nhưng người Brazil coi Garrincha hơn ông, vả lại kỷ lục ghi hơn ngàn bàn thắng thuộc giải Brazil không bằng Châu Âu nên không liệt kê Pele vào). 3/ Messi kĩ thuật siêu đẳng, ghi bàn cũng xuất sắc trong Ronaldo chạy nhanh, kĩ năng chọn vị trí ghi bàn xuất sắc mình cho đồng hạng, 4/ Ronaldinho. Còn lại là các anh tài khác. Riêng Ronaldo Lima mình chỉ nói thẳng là anh đá trong thời kì Serie A còn đỉnh cao. Đặc biệt là lối đá Catenacio chém đinh chặt sắt, phòng ngự đổ bê tông. Thời kỳ Ronaldo Lima đá là thời kỳ ngôi sao phòng ngự hằng hà sa số, đẳng cấp cao hơn bây giờ rất nhiều: Maldini, Nesta, Cannavaro,....còn nếu bạn vẫn nói Messi kĩ thuật hơn Ronaldo Lima thì mình mời bạn tìm kiếm clip Mesi đối đầu với ông lão Nesta và clip Ronaldo hành hạ Nesta với Maldini thế nào sẽ biết được ai hơn ai. Xin lỗi nói thẳng. Nếu ko chấn thương cực nặng, Ronaldo Lima là số 1. cầu thủ duy nhất ko có antifan."
11,train,ViCTSD Dataset\ViCTSD_train.csv,908,307,693,1,0,Có nên rút 3 tỷ đang gửi ngân hàng để mua đất lúc này?,KinhDoanh,"Theo ý kiến cá nhân, tôi nghĩ bạn chỉ nên đầu tư đất Q9 thời điểm nhạy cảm này khi miếng đất đáp ứng được các yếu tố sau:1. Đất thổ cư, có sổ đỏ và không vướng quy hoạch.2. Mảnh đất nằm trong hoặc sát các khu dân cư đông đúc, có SẴN cơ sở hạ tầng thuận tiện cho sinh hoạt như: Chợ dân sinh, trường, ủy ban nhân dân, công viên, và các nhà chung cư cao tầng tọa lạc gần đó...3. Đường trước nhà rộng, ô tô đi qua hoặc ô tô có thể tránh nhau (chiều rộng đường tối thiểu 4m trở lên. Đường càng rộng càng tốt). Mặt tiền rộng (từ 5m trở lên), nếu mua được lô căn góc thì càng tốt vì sau có thể chia nhỏ phân lô hoặc rất dễ bán.4. Giá càng rẻ càng tốt, diện tích không cần quá rộng. Nên thương lượng đàm phán quyết liệt và khéo léo để có giá tốt nhất. Hãy nghĩ mảnh đất như 1 mặt hàng vậy, thuận mua vừa bán. Không nên bất chấp tất cả để mua được mà không tham khảo kỹ về giá....Còn nhiều yếu tố khác nhưng 4 yếu tố trên sẽ đảm bảo tính THANH KHOẢN CAO và khả năng sinh lời tốt cho lô đất của bạn. Bạn không cần chia nhỏ số tiền 3 tỷ ra nhiều hạng mục làm gì vì với số tiền đó, may ra bạn mới có thể mua được 1 mảnh đất đạt đủ 4 tiêu chí trên. Khi có mảnh đất rồi, nếu bạn cần tiền gấp bạn cũng rất dễ bán vì nó có tính thanh khoản cao (tức cần là bán được luôn). Đã đầu tư thì nên đầu tư vào vị trí lô đất bạn nhé."
12,train,ViCTSD Dataset\ViCTSD_train.csv,765,295,705,1,1,Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,"Mình không so sánh bảo là khập khiễng, nhưng con mình trước học tại Pháp: Lớp 1 và lớp 2 mới tập vẽ chữ, tập đọc nhưng cấp 1 đã biết làm bánh,ươm cây, mắc điện đơn giản mang về khoe bố mẹ; còn tại Việt Nam thì lớp 1 đã đọc thông viết thạo (thậm chí còn thi vào lớp 1 vì các cháu biết đọc, viết trước khi vào lớp 1). Họ cứ học 8 tuần thì nghỉ 2 tuần và tháng nào cũng đi thực tế trang trại, nhà máy, công viên ...1 năm nghỉ rất nhiều; đúng là vừa học vừa chơi. Chỉ từ cấp 3 bắt đầu với học nặng, vậy mà khi học xong ra trường họ làm công nhân hay quản lý rất tốt vì họ học rất thực tế.Còn Việt Nam thì mình thấy học, học và học thêm; nếu đi thi thì đạt kết quả rất cao nhưng không biết nấu cơm, luộc rau, lắp ghép những đồ dùng hàng ngày vì còn đâu thời gian để thực tế; thử hỏi mang bao nhiêu kiến thức thực tế vào cuộc sống?."
13,valid,ViCTSD Dataset\ViCTSD_valid.csv,1098,295,705,1,0,Đánh giá chương trình lớp 1 nặng là chưa xác đáng',GiaoDuc,"Tôi hoan nghênh Bộ GD ĐT đã đổi mới chương trình dạy PT, mà cụ thể là tập trung vào việc dạy tiếng Việt với thời lượng nhiều nhất trong vài năm đầu! (Trong nhiều năm qua đã xao nhãng việc dạy tiếng Việt thật là đau đớn!!!)Tôi đồng tình với TV Tài, Vụ trưởng Vụ Giáo dục tiểu họccâu này Tập trung vào dạy sao cho các em đọc thông viết thạo càng sớm càng tốt và xem đó là điều kiện để học các môn khác và tôi thêm rằng phải dạy trẻ em có vốn tiếng mẹ đẻ phong phú sẽ giúp các em tuyền đạt lưu loát và diễn cảm sâu sắc, phát triển nhận thức và có khả năng suy luận rộng Tóm lại là rằng ngôn ngữ là công cụ khơi dậy trí thông minh. Nhưng để các em cấp I vài năm đầu đã đọc thông viết thạo tiếng mẹ đẻ thì cần có sự dạy dỗ kết hợp giữa phụ huynh và thầy cô ở trường. Bởi vì học tiếng mẹ đẻ hoặc một thứ tiếng nào đó đều yêu cầu người học phải có nhiều kỹ năng một lúc gồm phát âm, tập viết, ghép từ và triển khai từ vựng, đọc hiểu và nghe hiểu, viết cho ra câu cú, mà đv trẻ em là một thách thức nếu thiếu sự kèm cặp, hỗ trợ của cha mẹ bên cạnh đã có thầy cô ở trường đã dạy tốt.Nếu lời nói đi đôi với hành động, mà cụ thể là quản lý hệ thống cấp 1 toàn quốc chuyên nghiệp thì tôi tin rằng thế hệ trẻ em hôm nay sẽ thành người lớn trong tương lai giỏi hơn và tử tế hơn."
14,train,ViCTSD Dataset\ViCTSD_train.csv,5960,285,715,1,0,Chưa lập gia đình có nên mua bảo hiểm nhân thọ?,KinhDoanh,"Bạn nên mua bảo hiểm, nhưng hãy tìm người tư vấn viên khác. Vì người hiện tại tư vấn không nói rõ được mất cho khách -> thiếu lương tâm, trách nhiệm.Mèo đã mua bảo hiểm, và tìm hiểu rất kỹ. Ví dụ bạn mua gói 1 năm đóng 20tr, trong 20tr này họ sẽ trừ các loại phí bảo hiểm rủi ro, phí hợp đồng, phí y tế, phí ung thư -> sau cùng mới còn lại 1 khoản được tính lãi suất, trừ 1 hồi còn cỡ 7-8tr gì thôi. Chứ không phải đóng 20tr thì được trả lãi trên 20%.Tổng tiền bảo hiểm được trả lại lũy kế qua các năm sẽ dần tiến tới gần bằng tổng số tiền mà bạn gửi vào. Ví dụ bạn mua gói 12 năm, mỗi năm 20tr -> tổng gửi vào là 240tr => năm thứ 13 đáo hạn thì khi đó mức mà bạn rút được về sẽ gần 240tr. Nếu không rút về mà cứ để đó thì lúc này mới bắt đầu được lãi gần bằng ngân hàng.Mèo mua xong rồi thì cảm thấy rất an tâm, lỡ có tai nạn, ốm đau thì chữa trong số bảo hiểm chi trả. Trong vòng mấy chục năm tới bạn ko thể chắc chắn được là ko bao giờ bệnh.Số tiền chữa bệnh lớn hơn tiền lãi bank nhiều. Lỡ mà tử nạn luôn thì ba mẹ có tiền đi du lịch, ko lo cuộc sống tuổi già.Bạn nên tham khảo thêm vài bên bán bảo hiểm, ai mà nói rõ như Mèo nói ấy thì mới tin được. Chứ toàn nói cái hay, giấu nhẹm các điều khác thì bye bye."
15,train,ViCTSD Dataset\ViCTSD_train.csv,2730,281,719,1,0,Bỏ bài kiểm tra một tiết với học sinh THCS và THPT,GiaoDuc,"Thay đổi này cần thời gian để kiểm nghiệm xem tính hiệu quả đến đâu. Tuy nhiên, thay đổi lớn nhất cần được thực hiện là chương trình giáo dục nên được giảm tải và chú trọng tới những kiến thức thực tế nhiều hơn. Đồng thời là tư tưởng của những bậc phụ huynh về việc học tập của con mình, khi mà phụ huynh nào cũng muốn con điểm cao, thành tích này nọ mà quên mất rằng con mình có thực sự vui vẻ, hạnh phúc và học được nhiều điều có ích hay đi học không.Còn việc đưa môn Anh ngang hàng với Toán, Văn nhằm thúc đẩy khả năng ngoại ngữ mình thấy không khả thi lắm. Chương trình tiếng Anh hiện nay về cơ bản là quá nhiều lý thuyết, học sinh bị ép học ngữ pháp liên tục và làm bài tập như một cái máy, các kĩ năng khác như nghe, nói, và kể cả viết (học ngữ pháp giỏi không đồng nghĩa với việc luận giỏi) gần như bị bỏ qua. Muốn học tiếng Anh tốt thì điều cốt lõi là môi trường phải tốt, mà đội ngũ giáo viên hiện tại mình dám chắc rằng nhiều giáo viên trình độ còn chưa cao. Mẹ mình là giáo viên tiếng Anh, mở lớp dạy thêm cho học sinh THCS và THPT tại Hà Nội, thỉnh thoảng mẹ lại than phiền với mình rằng vừa nhận vào một lớp mà phải dành ra một buổi để sửa hết phát âm cho các bạn học sinh vì cô giáo ở lớp phát âm sai, học sinh học theo nên cũng sai theo luôn."
16,train,ViCTSD Dataset\ViCTSD_train.csv,548,280,720,1,0,Chưa lập gia đình có nên mua bảo hiểm nhân thọ?,KinhDoanh,"Với điều kiện của bạn tôi tư vấn như sau:Đầu tiên đem 500 triệu gửi vào ngân hàng ngay và luôn. Kỳ hạn 12 tháng lấy lãi trước, hiện tại được khoản 30 triệu.Sau đó tham gia 1 hđ bhnt phí chừng 25 đến 30 triệu.Với độ tuổi và nghề nghiệp của bạn,phí 30 triệu sẽ bảo vệ sinh mạng 1,5 tỷ,đến năm 80 tuổi. Nếu đến 80 tuổi bạn vẫn khỏe mạnh, được nhận thêm quà tặng 20% trên số tiền 1,5 tỷ.Bệnh hiểm nghèo được bảo vệ đến năm 70 tuổi, danh mục 80 bệnh hiểm nghèo bao quáthết.Thẻ chăm sóc sức khỏe nằm viện trong mọi trường hợp, hầu như không phải trả tiền và không cần làm thủ tục thanh toán. Bệnh viện và cty bh liên kết tự thanh toán với nhau.Ung thư là căn bệnh đang gia tăng chóng mặt ở VN. Nếu khách hàng rủi ro mắc phải, ngay lập tức được chi trả 10 lần phí là 300 triệu để chữa bệnh.Bạn không còn phải lo lắng vì tất cả những rủi ro bạn đã chuyển giao. Tiền vốn gốc của bạn vẫn còn nguyên. Nếu bạn đóng phí đều đặn 20,30 năm sau tất cả khoản phí bạn đã đóng sẽ quay về. Như vậy trong bất kỳ trường hợp nào bạn cũng không mất tiền .Nếu đợi đến 40 tuổi mới tham gia, quyền lợi chỉ còn một nửa và không chắc điều kiện sức khỏe còn được tham gia với phí chuẩn không?Điều kiện tiên quyết để tham gia bh là sức khỏe, không phải tiền."
17,valid,ViCTSD Dataset\ViCTSD_valid.csv,1801,280,720,1,0,5 phố đi bộ ở Sài Gòn dự kiến tổ chức thế nào,ThoiSu,"Mở phố đi bộ cho lắm vào để làm gì? trong khi điều kiện hạ tầng giao thông ở ta còn xuề xòa và thiếu đồng bộ, mật độ giao thông xe cộ đông đúc, giờ cấm đường để mở phố đi bộ nữa thì xe cộ lưu thông kiểu gì?! Với điều kiện thời tiết nắng nóng như lửa đốt ở ta thì ban ngày mấy ai đi bộ trên phố? Muốn đi bộ thì thời tiết phải mát mẻ, ít mưa, và có giải pháp cho sự lưu thông ra vào trên các tuyến đường đó. Ví dụ, tôi muốn đến lưu trú ở một khách sạn trên tuyến đường đó, giờ cấm không cho xe vào, thì tôi đi bằng gì? Đi bộ à? Không khả thi, vì tôi đi bộ 1 mình thì được nhưng tôi còn cả đống hành lý các thứ thì tôi vác bộ kiểu gì? Chưa kể trời mưa thì vác hành lý đi bộ bằng niềm tin à! Với xin lưu ý là khách du lịch thượng lưu, thương gia, doanh nhân... người ta không có khái niệm phải khuân vác kéo hành lý, mà việc đó là của lái xe và nhân viên khách sạn. Chỉ cần phố đi bộ Nguyễn Huệ là đã quá đủ và dư rồi, ban ngày để không đường trống vắng có ai đi bộ đâu, lãng phí, không nên mở rộng đi bộ ra các tuyến khác vì đường Đồng Khởi và các đường lân cận lòng đường rất nhỏ, nếu lập ra đi bộ là coi như xe cộ tê liệt không có đường để ra vào như bên đường Nguyễn Huệ được."
18,valid,ViCTSD Dataset\ViCTSD_valid.csv,1672,277,723,1,0,Bale trở về Tottenham,TheThao,"Chúc mừng Spurs trong 2 thương vụ Reguilon và Bale, những bản hợp đồng chất lượng củng cố đội hình, từ đây có thể thấy được sức hút của Hlv là quan trọng đến nhường nào trong quyết định đi hay ở của các cầu thủ. Hãy nhìn Jose, Pep, hay ngay cả Lampard, họ đều là những thỏi nam châm hấp dẫn các chiến binh bằng tài năng và một chiến lược dài hơi được vạch ra để cầu thủ có thể phát triển bản thânNghía qua phía tây nước Anh, Solskjær chỉ có thể sử dụng danh tiếng của Mu để thu hút cầu thủ về đội. Tuy nhiên nhìn sang kì chuyển nhượng hè này, gần như mọi cầu thủ ông và ban lãnh đạo theo đuổi đều từ chối đến đầu quân, hoặc đòi hỏi lương phí rất cao để bòn rút đội bóng. Giải thích cho điều này chắc chắn đến từ tài thao lược của hlv, khi không đưa ra được kế hoạch dài hơi cho đội bóng, cũng như cam kết phát triển cầu thủ. Những Marguie, Bruno, Pogba mùa vừa rồi đều chơi tốt, nhưng vẫn chưa là chính mình, chưa chạm được tới phiên bản tốt nhất của bản thân, rồi lối chơi theo kiểu ""cứ đá đi rồi sẽ có bàn thắng"". Nhìn sang Sterling, Silva, Pep đã nhào nặn thành nhiều mẫu cầu thủ khác nhau, phát triển theo hương đi lên. Hay như Klopp, nâng tầm một đội hình có giá trị không quá cao trở thành một thế lực, và đứng trong top những clb giá trị cao nhất EPLHãy thay đổi đi Solskjear"
19,train,ViCTSD Dataset\ViCTSD_train.csv,1633,270,730,1,0,5 phố đi bộ ở Sài Gòn dự kiến tổ chức thế nào,ThoiSu,"Không nên mở thêm nhiều như thế sẽ không hiệu quả. Phố Bùi Viện được hình thành từ phố Tây nên nó có lượng khách quen của nó, phố Nguyễn Huệ là nơi tổ chức sự kiện nên thu hút nhiều đông đảo người dân nhất nên có thể lấy làm trung tâm, nếu mở thêm phố Lê Lợi và Hàm Nghi thì có thể chấp nhận vì nó tạo thành vòng kín kết nối với Nguyễn Huệ, nhưng nếu mở thêm phố Đồng Khởi, Thi Sách, Thái Văn Lung thì tính hiệu quả không cao, vì Đồng Khởi chủ yếu là trung tâm thương mại, nhà hàng khách sạn, trong khi văn hóa phố đi bộ lại gắn liền với quán gia đình, vỉa hè, hàng rong là nơi đông vui và dễ tiếp cận chọn lựa với mức thu nhập bình dân đây là văn hóa đặc trưng của phố đi bộ trên thế giới nó không chỉ đơn thuần để đi bộ mà là nơi một đứa trẻ vẫn có thể mua món mình thích, Thái Văn Lung và Thi Sách trông rất lạc lõng trong vòng kết nối tâm lý là mọi người sẽ đổ về nơi đông vui trung tâm Nguyễn Huệ nên 2 đường này sẽ không thu hút nhiều khách do quá lạc lõng đều này dễ nhận thấy ở khác hội chợ và chợ xuân khi các khu trái đường hoặc riêng lẻ thường khô không có đông khách tham quan vì ai cũng muốn đi thuận đường do đi bộ là khá mệt tâm lý là thuận đường và đông vui."
20,train,ViCTSD Dataset\ViCTSD_train.csv,5140,267,733,1,0,Cơ thể người có thể toát bao nhiêu mồ hôi?,KhoaHoc,"Bạn đặt câu hỏi thiếu điều kiện nên rất khó để trả lời chính xác. Bởi lượng mồ hôi tiết ra sẽ khác nhau ở từng người.Trung bình một ngày người ta đổ từ 0,5lít đến hơn 3lít mồ hôi, phụ thuộc vào các yếu tố sau:- Kích thước cơ thể: người to béo có thân nhiệt cao hơn nên sẽ tiết nhiều hơn.- Khối lượng cơ bắp: với 2 người cùng cân nặng, ai nhiều cơ hơn sẽ tiết nhiều hơn.- Tuổi tác: người càng lớn tuổi sẽ ít tiết ra hơn vì do tuyết mồ hôi bị lão hoá.- Tình trạng sức khoẻ:stress, rối loạn nội tiết, tiền mãn kinh, hoặc mắc một bệnh nào đó có thể gây tăng/giảm tiết mồ hôi.- Thể chất: những ai khoẻ mồ hôi sẽ ra nhiều hơn người yếu vì có cơ thể hoạt động mạnh hơn.- Yếu tố bên ngoài: đang chịu nhiệt độ cao hay thấp, đang vận động thể lực hay ngồi văn phòng, có đang ăn đồ cay không... đều tác động lượng mồ hôi tiết ra.Còn nếu bạn muốn biết trong một lượt đổ mồ hôi, cơ thể tiết ra tối đa bao nhiêu? Thì với hoạt động thể lực cường độ vừa liên tục 1-3 giờ ở nhiệt độ ôn hoà MÀ KHÔNG UỐNG NƯỚC, ta sẽ mất tối đa 1,5-2lít mồ hôi.Thực tế khi mất 1lít thôi ta đã thấy khát rồi. Mất hơn 2lít mà không được uống nước bù vào sẽ dẫn đến ngất, mất ý thức, ngộ độc cơ..."
